Sites,Locality Number,Environment,Typothorax,Mawsoniidae,Rauisuchidae,Arganodus,Chindesaurus,Anaschisma,Apachesaurus,Shuvosauridae,Paratypothorax,Lasalichthyes,Turseodus,Trilophosauridae,Vancleavea,Reticulodus,Machaeroprosopus,Crocodylomorpha,Revueltosaurus,Coelophysoidea,Rioarribasuchus,Acrodus,Sphenodontidae,Lissodus,Drepanosauridae,Herrerasauridae,Tanystropheidae,Poposauridae
15,PFV 048,"""Aquatic""",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,PFV 049,"""Terrestrial""",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,PFV 053,"""Aquatic""",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,PFV 055,"""Terrestrial""",1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,PFV 071,"""Aquatic""",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,PFV 075,"""Aquatic""",1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21,PFV 086,"""Terrestrial""",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,PFV 092,"""Terrestrial""",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,PFV 190,"""Aquatic""",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
24,PFV 215,"""Aquatic""",1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
25,PFV 216,"""Aquatic""",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
26,PFV 231,"""Aquatic""",1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
